[2026-01-27 02:17:07] Code: TEST_CODE, Result: Test Log Message
[2026-01-27 02:22:05] Code: 4901330574369, Result: Match: ポテトチップス うすしお味
[2026-01-27 02:24:42] Code: 4549131970258, Result: Match: ダイソー USBケーブル
[2026-01-27 02:39:03] Code: 4549131970258, Result: Match: ダイソー USBケーブル
[2026-01-27 11:50:19] Code: 4549131970258, Result: Match: ダイソー USBケーブル
[2026-01-27 11:50:20] Code: 4549131970258, Result: Match: ダイソー USBケーブル
[2026-01-27 11:50:32] Code: 4549131970258, Result: Match: ダイソー USBケーブル
[2026-01-27 11:53:00] Code: 4549131970258, Result: Match: ダイソー USBケーブル
[2026-01-28 12:17:54] Code: 4549131970258, Result: Not Found
[2026-01-28 12:52:15] Code: 4549131970258, Result: Match: ダイソー USBケーブル (Stock: 50)
[2026-02-03 09:19:13] Code: 00020384, Result: Not Found
[2026-02-03 09:19:16] Code: 00020384, Result: Not Found
[2026-02-03 09:22:20] Code: 00030027, Result: Not Found
[2026-02-03 10:49:43] Code: 00030027, Result: Not Found
[2026-02-03 10:49:47] Code: 00030027, Result: Not Found
[2026-02-03 10:57:04] Code: 00030027, Result: Match: 速乾インク C8842A (Stock: 0)
[2026-02-03 10:59:32] Code: 00030027, Result: Match: 速乾インク C8842A (Stock: 0)
[2026-02-03 11:19:58] Code: 00030027, Result: Match: 速乾インク C8842A (Stock: 340)
